date,tweet_id,tweet_text,source,in_reply_to_screen_name,user_name,user_screen_name,location,user_url,n_followers,verified
2021-06-18 13:57:37,1405887426166468614,@Santi_ABASCAL Y no les da vergüenza que asco de gobierno mentiroso que tenemo. ViVa VoX 💪💚🇪🇸,Twitter for iPhone,Santi_ABASCAL,Carlos Morales,ElCharly1964,"Manises, España",https://twitter.com/ElCharly1964,108,False
2021-06-18 13:57:21,1405887358738833413,"@Manu35170490 @Santi_ABASCAL Va ser que no.

https://t.co/YM1ZFCh4uK",Twitter for Android,Manu35170490,ÓscarGFCD,OSCARGFCD,,https://twitter.com/OSCARGFCD,44,False
2021-06-18 13:57:05,1405887293047689226,"@milagros5426gm1 @Laya_punto @Santi_ABASCAL Vamos que Casado, Al Abascal, Arrimadas no quieren gobernar. Todos se presentan para gobernar.",Twitter for Android,milagros5426gm1,Antonio Dominguez,Rainwindroad,,https://twitter.com/Rainwindroad,113,False
2021-06-18 13:56:01,1405887025488793602,"@milagros5426gm1 @Laya_punto @Santi_ABASCAL Quitando 2 al resto le han caído 3-6 años, llevan 3 en prisión.",Twitter for Android,milagros5426gm1,Antonio Dominguez,Rainwindroad,,https://twitter.com/Rainwindroad,113,False
2021-06-18 13:54:53,1405886739282079744,@lytha_ngf @VOX_Europa_ @Santi_ABASCAL @GiorgiaMeloni #QueremosVerElPadrónElectoral #MiVotoPorKeikoSeRespeta #PeruLibreEsSenderoLuminoso,Twitter for Android,lytha_ngf,Consuelo Avalos,mconsueloav,"Trujillo, Peru",https://twitter.com/mconsueloav,971,False
2021-06-18 13:52:59,1405886262209400838,"@Santi_ABASCAL Dan mucho asco, estamos muy hartos de todo, os necesitamos !!! 🙌🏽🇪🇸💚",Twitter for Android,Santi_ABASCAL,LocoGonza,_130621gongon,,https://twitter.com/_130621gongon,3594,False
2021-06-18 13:50:39,1405885672544735242,"@Santi_ABASCAL La razon jajaj cada dia dais mas pena, en algun momento de diba abandonar la marcarilla y ahora lo atriboyes a ti, jajajaj das mucha pena, deja de beber, como se nota que to la vida fuiste un nini",Twitter Web App,Santi_ABASCAL,Raúl García Solís,raulgarciarg7,España,https://twitter.com/raulgarciarg7,81,False
2021-06-18 13:50:06,1405885535445454848,"@MalaMalamente @Santi_ABASCAL @Macarena_Olona El uso social de la mascarilla para TOOOOODA la población, vayas andando por la calle más comercial de Madrid en hora punta como por las afueras de un pueblo de Extremadura, es sencillamente UNA PUTA PANDACÁ y tomarnos a todos como a niños.

Pero sigue bebiendo el orín del Presi",Twitter for Android,MalaMalamente,Gonzalo Pozo (Pogui),GPogui,"Montijo, España",https://twitter.com/GPogui,696,False
2021-06-18 13:50:01,1405885516193611776,"Así son las Denuncias Falsas¡
PARTE 2:
Escandaloso.
Lo extraño es que lleguen al 0,00001%
@Macarena_Olona @Alvisepf @vox @CeltiusAbogados @denunciafalsa @Santi_ABASCAL @okdiario https://t.co/QwfXZqFEX8",Twitter for Android,,Edu💚🇪🇦,Canario06111376,"Islas Canarias, España",https://twitter.com/Canario06111376,1578,False
2021-06-18 13:49:39,1405885423721848833,@Santi_ABASCAL Ahora quiere ser el salvador de los españoles por quitarnos las mascarillas....vaya tele que tiene Pinocho ¡¡¡,Twitter for Android,Santi_ABASCAL,Susana Pérez 🇪🇸 👑💚,Susana___Perez,"Barcelona, España",https://twitter.com/Susana___Perez,17726,False
